browser_type;login_attempts;duration;packet_size;encryption_used;ip_reputation_score;failed_logins;unusual_time_access;protocol_ICMP;protocol_TCP;protocol_UDP;attack
2;0.25;0.06849661286745308;0.4381654381654382;0;0.6555865706511997;0.2;0.0;0;1;0;1
3;0.16666666666666666;0.21662306124686573;0.33415233415233414;0;0.3244427957515333;0.0;0.0;0;1;0;0
4;0.16666666666666666;0.010367924783900546;0.46273546273546273;0;0.7991599150429023;0.4;0.0;0;1;0;1
1;0.25;0.08355463717816522;0.6060606060606061;0;0.1310154410224251;0.0;0.0;0;0;1;1
3;0.3333333333333333;0.07399845125501123;0.3185913185913186;1;0.05682023165111675;0.2;0.0;0;1;0;0
4;0.3333333333333333;0.0528480176074648;0.3185913185913186;1;0.45561721937682687;0.4;1.0;0;0;1;0
4;0.25;0.10119861928192168;0.6150696150696151;1;0.4461640735540938;0.2;0.0;1;0;0;1
4;0.16666666666666666;0.0016829050634101508;0.4823914823914824;0;0.10330037862189798;0.6;1.0;0;1;0;1
4;0.08333333333333333;0.07539179715013475;0.2800982800982801;1;0.316860606490071;0.0;1.0;0;1;0;0
4;0.4166666666666667;0.07391544836966066;0.44553644553644556;0;0.45738625744028666;0.2;0.0;0;0;1;0
3;0.4166666666666667;0.0806996695100978;0.2809172809172809;0;0.13061032506404072;0.6;0.0;0;0;1;1
2;0.6666666666666666;0.026502878109870683;0.2800982800982801;0;0.3658207585909965;0.2;0.0;0;0;1;1
0;0.08333333333333333;0.025820642765286245;0.3963963963963964;0;0.43870770731999315;0.4;1.0;0;1;0;0
1;0.25;0.11585555670690366;0.043407043407043405;0;0.5107332034067186;0.4;0.0;0;1;0;1
4;0.16666666666666666;0.010758151761890654;0.07452907452907453;1;0.3796678734933406;0.6;0.0;0;1;0;1
4;0.4166666666666667;0.040561970525483194;0.26453726453726456;0;0.2738283489398489;0.6;0.0;1;0;0;1
3;0.5833333333333334;0.19762665833546364;0.19082719082719082;1;0.3719568688716576;0.6;0.0;0;1;0;1
3;0.0;0.012119931580627215;0.40786240786240785;1;0.14561945442847707;0.4;0.0;0;0;1;0
1;0.3333333333333333;0.07016637455218883;0.20802620802620803;1;0.42496595932347825;0.2;0.0;0;1;0;1
4;0.08333333333333333;0.12282765050431751;0.12530712530712532;0;0.33371179943074497;0.0;0.0;1;0;0;0
3;0.16666666666666666;0.0169250679441752;0.597051597051597;1;0.3979462762817971;0.4;0.0;0;1;0;0
4;0.0;0.04161558186525432;0.3194103194103194;0;0.402882195824926;0.2;0.0;0;1;0;0
3;0.16666666666666666;0.0909646658545411;0.3677313677313677;1;0.5364845356052287;0.2;0.0;0;1;0;0
4;0.5833333333333334;0.04403109931920896;0.12366912366912367;1;0.4984300644078857;0.4;0.0;0;1;0;1
3;0.3333333333333333;0.012889084044444304;0.2678132678132678;1;0.579026893550569;0.4;0.0;0;1;0;0
3;0.25;0.029360084448761377;0.3751023751023751;1;0.11434308387298686;0.6;0.0;0;1;0;1
4;0.6666666666666666;0.012823793493399958;0.1678951678951679;1;0.5471049056190406;0.0;0.0;0;1;0;1
4;0.16666666666666666;0.45699179217547575;0.41850941850941853;0;0.45343163627360034;0.0;0.0;0;1;0;0
4;0.08333333333333333;0.0298310622721488;0.257985257985258;1;0.8503109192740362;0.4;0.0;0;0;1;1
3;0.5;0.08407101725842962;0.30876330876330876;1;0.36182920496271587;0.0;0.0;0;1;0;1
4;0.0;0.06218776222075367;0.257985257985258;0;0.10511253790775385;0.0;0.0;0;1;0;0
4;0.08333333333333333;0.09371095015742298;0.6601146601146601;0;0.2924596631932038;0.2;0.0;0;0;1;1
4;0.0;0.07663109859048212;0.3546273546273546;0;0.03541151644817295;0.2;1.0;0;1;0;0
4;0.08333333333333333;0.14445295636327488;0.18345618345618345;1;0.11691508967967482;0.6;0.0;1;0;0;1
4;0.4166666666666667;0.22955032571780534;0.4914004914004914;1;0.42205074847704216;0.4;1.0;0;1;0;0
4;0.08333333333333333;0.03730420846905222;0.15642915642915642;1;0.558513805856324;0.2;1.0;0;1;0;0
4;0.3333333333333333;0.022502049168288563;0.3906633906633907;1;0.1469718415670605;0.4;0.0;0;1;0;0
3;0.5;0.4624281687639379;0.036036036036036036;1;0.08354555401341336;0.4;0.0;0;1;0;1
3;0.3333333333333333;0.22362853980602349;0.13923013923013924;0;0.6979884793202963;0.8;0.0;0;1;0;1
4;0.25;0.05027093367984264;0.389025389025389;0;0.3322763538409817;0.0;0.0;0;1;0;0
4;0.08333333333333333;0.25047847808390394;0.4774774774774775;1;0.3218555511677265;0.2;0.0;0;1;0;0
4;0.25;0.12347272559855102;0.38493038493038495;1;0.037161223174014185;0.6;0.0;0;1;0;1
2;0.25;0.06393398437052067;0.33742833742833744;0;0.4284244064317239;0.4;0.0;0;1;0;0
4;0.3333333333333333;0.22990844583675696;0.3071253071253071;0;0.2634146890321593;0.4;0.0;0;1;0;0
4;0.25;0.12508397572474914;0.11466011466011466;0;0.3632278689343127;0.2;0.0;0;1;0;0
4;0.08333333333333333;0.19479252607190495;0.23914823914823916;0;0.7273576471337896;0.2;0.0;0;1;0;1
2;0.5;0.060111844554830464;0.2809172809172809;0;0.08599769511067894;0.6;1.0;0;1;0;1
2;0.3333333333333333;0.17829593733602514;0.5298935298935299;1;0.2223346994069326;0.4;0.0;0;1;0;1
1;0.4166666666666667;0.050798474312145014;0.41277641277641275;1;0.5769908202058835;0.4;0.0;0;1;0;1
2;0.0;0.14772949556526446;0.06797706797706797;1;0.2830062171780379;0.2;0.0;0;1;0;0
2;0.08333333333333333;0.06356078608275696;0.4095004095004095;0;0.2356339149770301;0.2;1.0;0;1;0;0
4;0.3333333333333333;0.057736163882785324;0.2932022932022932;1;0.5031743849856137;0.2;0.0;0;1;0;0
3;0.3333333333333333;0.17715067229813589;0.2457002457002457;1;0.9419989516954039;0.4;0.0;0;1;0;1
3;0.4166666666666667;0.014792814760250132;0.457002457002457;1;0.35516521937514706;0.2;1.0;0;1;0;1
2;0.25;0.2930081709678114;0.5257985257985258;0;0.5026667822406969;0.4;1.0;0;1;0;0
3;0.16666666666666666;0.07900381277581892;0.5094185094185094;0;0.6629907318210858;0.2;0.0;0;1;0;1
4;0.08333333333333333;0.11240010776427048;0.2194922194922195;1;0.18631830050401554;0.4;0.0;0;1;0;0
4;0.25;0.057748677002881804;0.3063063063063063;0;0.23295427887082218;0.2;0.0;0;1;0;0
3;0.3333333333333333;0.11543753929407363;0.41113841113841115;0;0.6512820829133298;0.2;0.0;0;0;1;1
2;0.0;0.13760843234415643;0.5167895167895168;1;0.2787167080892436;0.4;0.0;0;0;1;1
4;0.6666666666666666;0.22564467211756395;0.2784602784602785;0;0.2529595578048369;0.4;0.0;0;1;0;1
4;0.3333333333333333;0.21431430746828492;0.32596232596232594;1;0.04070541736109166;0.4;0.0;0;1;0;0
2;0.5833333333333334;0.04920834690058276;0.17526617526617527;1;0.5522938921595177;0.4;0.0;0;1;0;1
4;0.4166666666666667;0.10638319718883965;0.16052416052416052;1;0.5833543915501014;0.2;0.0;0;0;1;0
0;0.16666666666666666;0.16869574345242808;0.48976248976248976;1;0.49025189501110034;0.2;0.0;0;1;0;0
4;0.4166666666666667;0.16099980333828054;0.579033579033579;1;0.14458812170620408;0.4;1.0;1;0;0;0
4;0.3333333333333333;0.2464742023640209;0.3447993447993448;1;0.4706018643933758;0.4;0.0;0;1;0;0
4;0.4166666666666667;0.19837073815385742;0.5208845208845209;0;0.21400444008253222;0.8;0.0;0;1;0;1
4;0.75;0.14072115700139914;0.41605241605241605;0;0.17569982683162477;0.2;0.0;0;1;0;1
4;0.0;0.15367137219295735;0.25061425061425063;1;0.440611677597641;0.4;0.0;0;1;0;1
2;0.4166666666666667;0.18322855974033078;0.41605241605241605;1;0.2201067859534974;0.0;0.0;0;1;0;0
1;0.16666666666666666;0.2023781075802014;0.6085176085176085;1;0.6776484305082695;0.0;0.0;0;1;0;1
2;0.25;0.048320342490899004;0.35053235053235055;1;0.283539624802692;0.2;0.0;0;1;0;1
4;0.5;0.16932297224528267;0.6126126126126126;0;0.7042986587441357;0.4;0.0;0;0;1;1
4;0.4166666666666667;0.3315110433121089;0.0;1;0.5532798922872925;0.2;0.0;0;1;0;0
4;0.16666666666666666;0.029440858055320897;0.4914004914004914;1;0.11180645347433102;0.0;0.0;0;1;0;0
2;0.3333333333333333;0.005431189035889597;0.371007371007371;0;0.36183127190568826;0.2;0.0;0;1;0;1
4;0.3333333333333333;0.008292271807142728;0.30794430794430794;0;0.3733506559077741;0.2;0.0;0;0;1;0
4;0.25;0.027108915421907357;0.37182637182637185;1;0.4824374758477297;0.0;0.0;0;0;1;1
2;0.16666666666666666;0.28067031656893526;0.031122031122031123;1;0.22302121981149461;0.4;0.0;0;1;0;0
3;0.3333333333333333;0.015016766932112026;0.32104832104832104;0;0.11636515750468214;0.4;0.0;0;1;0;0
4;0.3333333333333333;0.1531179794450736;0.4152334152334152;0;0.5199871490995427;0.4;1.0;0;1;0;0
4;0.4166666666666667;0.22443849812788427;0.5986895986895987;1;0.19218349091179543;0.4;0.0;0;1;0;1
4;0.4166666666666667;0.2335713314054859;0.2719082719082719;1;0.6598455425384353;0.0;0.0;0;1;0;1
2;0.08333333333333333;0.059918777745179966;0.2244062244062244;1;0.3503882729107046;0.2;0.0;0;0;1;0
4;0.16666666666666666;0.07600562021934594;0.27436527436527436;1;0.643236275939918;0.0;0.0;0;1;0;0
3;0.3333333333333333;0.04337496563633172;0.506961506961507;1;0.3678392405366727;0.6;0.0;0;1;0;1
4;0.5833333333333334;0.017666418123539366;0.4103194103194103;1;0.21225108903518977;0.4;1.0;0;1;0;1
4;0.25;0.026464882601016964;0.2702702702702703;1;0.4138828219424526;0.2;0.0;0;0;1;1
4;0.25;0.016039451826443125;0.4406224406224406;1;0.3039726461704053;0.2;1.0;0;1;0;1
3;0.16666666666666666;0.058172442604385116;0.3726453726453726;1;0.5478126825764817;0.4;1.0;0;1;0;0
2;0.25;0.020709187279472973;0.5151515151515151;0;0.8071536721841721;0.4;0.0;0;1;0;1
4;0.25;0.05740110365754267;0.2416052416052416;1;0.42703150322779154;0.6;0.0;0;1;0;1
3;0.5;0.21190349378324447;0.30303030303030304;0;0.2851785439272588;0.0;0.0;0;0;1;1
0;0.5;0.11818623577689696;0.29238329238329236;0;0.796060377339964;0.6;0.0;0;1;0;1
3;0.25;0.1208709148965923;0.11711711711711711;1;0.19277277208222554;0.6;0.0;0;0;1;1
0;0.16666666666666666;0.18581376916720846;0.40540540540540543;1;0.30154259119826005;0.2;0.0;0;1;0;0
3;0.25;0.004611029320958208;0.39967239967239965;1;0.33572887091867165;0.0;0.0;0;1;0;0
3;0.16666666666666666;0.17599565786359272;0.3579033579033579;1;0.3873815912184041;0.4;0.0;0;0;1;0
3;0.3333333333333333;0.024252378842306764;0.3185913185913186;1;0.47429052289050105;0.4;0.0;0;1;0;0
2;0.4166666666666667;0.047167457266438846;0.12448812448812449;1;0.85746351470944;0.0;0.0;0;1;0;1
4;0.08333333333333333;0.04090255577246004;0.28746928746928746;1;0.2193359953783795;0.6;0.0;0;1;0;1
3;0.08333333333333333;0.012355043058929423;0.30057330057330056;1;0.020401173000505687;0.4;0.0;0;1;0;0
3;0.16666666666666666;0.02116130547947341;0.22522522522522523;0;0.4406412555786911;0.4;0.0;0;1;0;0
4;0.0;0.3483626945606733;0.33005733005733007;1;0.2250935735309461;0.4;0.0;1;0;0;0
4;0.16666666666666666;0.10195942620802378;0.4226044226044226;0;0.26008657318086087;0.4;0.0;1;0;0;0
2;0.25;0.07140862343522804;0.6658476658476659;0;0.19420522063778956;0.0;0.0;0;1;0;1
4;0.25;0.1577041618071849;0.38493038493038495;0;0.686869660158553;0.4;0.0;0;1;0;1
3;0.3333333333333333;0.18692723957702037;0.3988533988533989;0;0.23089418649126867;0.0;0.0;0;1;0;0
4;0.4166666666666667;0.012929729448982815;0.3447993447993448;0;0.4380921685399629;0.4;0.0;0;1;0;0
2;0.25;0.15020387541628114;0.042588042588042586;1;0.49888338026312423;0.0;0.0;0;1;0;0
3;0.4166666666666667;0.2996952957644683;0.3521703521703522;1;0.44014782138237996;0.2;0.0;0;1;0;0
4;0.4166666666666667;0.09790445638498765;0.3669123669123669;0;0.23733550191632788;0.2;1.0;0;1;0;0
3;0.08333333333333333;0.105893059216124;0.76003276003276;0;0.04343898163545595;0.2;0.0;0;1;0;0
2;0.16666666666666666;0.22728949887356145;0.32514332514332517;0;0.09516962134895422;0.2;0.0;0;1;0;1
4;0.3333333333333333;0.12653247682804838;0.4062244062244062;0;0.3160669904069379;0.4;0.0;0;1;0;0
1;0.0;0.5955782346680455;0.35135135135135137;0;0.46068466509256595;0.2;0.0;0;0;1;0
0;0.3333333333333333;0.03689927291898604;0.16543816543816545;1;0.334348004787686;0.4;1.0;0;1;0;1
4;0.6666666666666666;0.20771498945369665;0.5438165438165438;0;0.3705500564120614;0.0;0.0;0;1;0;1
4;0.6666666666666666;0.10539019622756239;0.4799344799344799;0;0.42802800588366424;0.2;1.0;0;1;0;1
4;0.16666666666666666;0.05058927390438859;0.4864864864864865;0;0.45597780949462974;0.2;0.0;0;1;0;0
2;0.08333333333333333;0.23872029409094517;0.20802620802620803;0;0.1855612129399509;0.2;0.0;0;1;0;0
4;0.3333333333333333;0.6213585852222355;0.5864045864045864;1;0.5542187438989379;0.2;0.0;0;1;0;0
3;0.25;0.006560889620108548;0.12694512694512694;0;0.08833530213770617;0.6;1.0;1;0;0;1
3;0.3333333333333333;0.28892078847350317;0.45290745290745293;1;0.8181194578711777;0.2;0.0;0;1;0;1
3;0.3333333333333333;0.025192576329719576;0.7158067158067158;1;0.3541493382866534;0.4;0.0;0;1;0;0
3;0.25;0.02548296314564867;0.1941031941031941;1;0.28361236860659683;0.4;0.0;0;1;0;0
4;0.0;0.004676335150117028;0.26371826371826373;0;0.3144018532834987;0.2;1.0;1;0;0;0
4;0.5833333333333334;0.2840466725316506;0.3726453726453726;1;0.250898135021253;0.6;0.0;0;0;1;1
4;0.4166666666666667;0.15844313463445964;0.27436527436527436;1;0.7755088616988408;0.2;0.0;0;0;1;1
4;0.0;0.006042441052522972;0.10237510237510238;1;0.349645415667917;0.4;0.0;0;1;0;0
4;0.16666666666666666;0.11162646692558398;0.3677313677313677;1;0.15497573448423232;0.0;1.0;1;0;0;0
4;0.25;0.014171133750748272;0.18263718263718265;1;0.06654569087819892;0.2;0.0;0;1;0;1
3;0.6666666666666666;0.15480689416990692;0.43407043407043405;1;0.21592431513497523;0.2;0.0;0;1;0;1
4;0.16666666666666666;0.05846044474915558;0.20638820638820637;0;0.10691324197205966;0.0;0.0;0;0;1;1
1;0.25;0.005846028876554251;0.6101556101556102;1;0.1969239016517878;0.2;0.0;0;0;1;1
2;0.3333333333333333;0.19670417930493225;0.2285012285012285;1;0.1165998985373436;0.6;1.0;0;1;0;1
0;0.25;0.09446296217041718;0.30384930384930386;1;0.2703016054048809;0.6;0.0;0;1;0;1
4;0.0;0.16485362232354997;0.48976248976248976;1;0.5462992611668607;0.4;0.0;0;1;0;0
1;0.0;0.12482663930997677;0.1547911547911548;0;0.25552315688672195;0.8;0.0;0;1;0;1
1;0.25;0.06333740582944994;0.3939393939393939;1;0.28200940892928295;0.6;0.0;0;1;0;1
4;0.0;0.1333997767343161;0.5708435708435708;1;0.18989370844125883;0.4;0.0;1;0;0;0
2;0.16666666666666666;0.0015842658241341844;0.09336609336609336;1;0.3079226832368873;0.2;1.0;0;1;0;0
3;0.16666666666666666;0.04611951031681757;0.38656838656838655;0;0.7602902554208402;0.0;0.0;0;0;1;1
4;0.16666666666666666;0.16732297979977045;0.3988533988533989;0;0.12518373711290692;0.4;0.0;0;0;1;0
4;0.3333333333333333;0.1601505379607995;0.48484848484848486;1;0.3717823128967469;0.2;0.0;0;1;0;0
3;0.25;0.242937912539046;0.15397215397215397;1;0.32978772553698793;0.0;0.0;0;0;1;1
4;0.16666666666666666;0.10499940007197657;0.14004914004914004;1;0.26954710037584567;0.6;0.0;0;1;0;1
4;0.16666666666666666;0.31712143586957514;0.44226044226044225;0;0.8693954267709272;0.0;0.0;0;1;0;1
4;0.16666666666666666;0.09070172051936425;0.40540540540540543;1;0.14106044622574415;0.4;0.0;0;1;0;0
4;0.0;0.07715616156329519;0.39803439803439805;0;0.3933001049659137;0.4;0.0;0;1;0;0
4;0.5;0.024372588026435466;0.4135954135954136;1;0.5578390352466113;0.2;1.0;0;0;1;1
4;0.4166666666666667;0.1678164425219759;0.24488124488124488;1;0.37811056324041403;0.4;0.0;1;0;0;0
4;0.3333333333333333;0.13098567223963564;0.39475839475839475;1;0.37010007975364306;0.2;0.0;0;1;0;0
0;0.6666666666666666;0.06864868508159672;0.4045864045864046;0;0.33839661826610706;0.4;0.0;0;0;1;1
2;0.25;0.01007119590052633;0.23996723996723995;0;0.213755672922221;0.4;0.0;0;1;0;1
4;0.16666666666666666;0.014877489889536407;0.6625716625716626;0;0.05286322707017826;0.4;0.0;0;0;1;0
4;0.16666666666666666;0.013456001566938415;0.43407043407043405;1;0.4395618090788532;0.8;0.0;0;1;0;1
0;0.75;0.05233324431746568;0.16134316134316135;1;0.25840947815503973;0.2;0.0;0;1;0;1
4;0.4166666666666667;0.01919494183737213;0.4643734643734644;1;0.10642932124325263;0.2;0.0;0;1;0;0
2;0.4166666666666667;0.21936584925331068;0.19737919737919737;1;0.3736373134724623;0.2;0.0;0;1;0;0
